ID,Image,Price,Brand,Link
112,wildberries_dress112.jpg,9 030 тг.,ZARINA /Платье,https://www.wildberries.kz/catalog/6989084/detail.aspx?targetUrl=GP
113,wildberries_dress113.jpg,39 820 тг.,Stimage /Платье Tender,https://www.wildberries.kz/catalog/6902595/detail.aspx?targetUrl=GP
114,wildberries_dress114.jpg,11 290 тг.,Befree /Платье,https://www.wildberries.kz/catalog/7255215/detail.aspx?targetUrl=GP
115,wildberries_dress115.jpg,7 660 тг.,Befree /Платье,https://www.wildberries.kz/catalog/6846121/detail.aspx?targetUrl=GP
116,wildberries_dress116.jpg,14 790 тг.,TUTTA MAMA /Платье с секретом для кормления,https://www.wildberries.kz/catalog/7271282/detail.aspx?targetUrl=GP
117,wildberries_dress117.jpg,8 470 тг.,Befree /Платье,https://www.wildberries.kz/catalog/7255205/detail.aspx?targetUrl=GP
118,wildberries_dress118.jpg,39 990 тг.,Mango /Платье - SHAZAM-A,https://www.wildberries.kz/catalog/5397181/detail.aspx?targetUrl=GP
119,wildberries_dress119.jpg,58 110 тг.,Pattern. /Платье двубортное,https://www.wildberries.kz/catalog/6965030/detail.aspx?targetUrl=GP
120,wildberries_dress120.jpg,10 070 тг.,ZARINA /Платье,https://www.wildberries.kz/catalog/6040612/detail.aspx?targetUrl=GP
121,wildberries_dress121.jpg,9 030 тг.,Befree /Платье,https://www.wildberries.kz/catalog/7255212/detail.aspx?targetUrl=GP
122,wildberries_dress122.jpg,15 750 тг.,BRANDWOMEN /Платье,https://www.wildberries.kz/catalog/6887928/detail.aspx?targetUrl=GP
123,wildberries_dress123.jpg,14 060 тг.,Colambetta /Платье,https://www.wildberries.kz/catalog/5476380/detail.aspx?targetUrl=GP
124,wildberries_dress124.jpg,24 760 тг.,Laete /Платье,https://www.wildberries.kz/catalog/7575350/detail.aspx?targetUrl=GP
125,wildberries_dress125.jpg,18 110 тг.,po Pogode /Платье,https://www.wildberries.kz/catalog/6043830/detail.aspx?targetUrl=GP
126,wildberries_dress126.jpg,16 800 тг.,Bornsoon /Платье,https://www.wildberries.kz/catalog/4524526/detail.aspx?targetUrl=GP
127,wildberries_dress127.jpg,11 010 тг.,LOVE REPUBLIC /Платье,https://www.wildberries.kz/catalog/6278007/detail.aspx?targetUrl=GP
128,wildberries_dress128.jpg,1 730 тг.,ТВОЕ /Платье,https://www.wildberries.kz/catalog/6462062/detail.aspx?targetUrl=GP
129,wildberries_dress129.jpg,28 430 тг.,1001 DRESS /Платье,https://www.wildberries.kz/catalog/5793105/detail.aspx?targetUrl=GP
